ID,Time,Denv,BI,CI,HI,Tave,Tmax,Tmin,Humid,Prec,Pop,Pop_Den
1,22,0,0,0,0,25.59,28.22857143,23.54285714,88.29,37.43,335963.4857,72.57498708
1,23,0,0.26,0.4618,0.257142857,27.19,30.67142857,24.9,84.43,14,335906.981,72.54998277
1,24,0,0,0,0,25.77,28.68571429,23.78571429,87,24.79,335850.4857,72.52498708
1,25,0,0,0,0,26.64,29.37142857,24.55714286,79.14,6.5,335794,72.5
1,26,0,0,0,0,28.23,31.48571429,25.32857143,72.71,6,335737.5238,72.47502153
1,27,1,0.4,0.5262,0.4,28.67,31.6,25.68571429,69,0,335725.9793,72.5
1,28,0,0,0,0,29.07,32.52857143,25.91428571,68.43,0,335657.9724,72.5
1,29,0,0,0,0,29.36,33.77142857,26.17142857,73.57,0.21,335589.9793,72.5
1,30,0,0,0,0,27.53,31.35714286,24.75714286,81,12,335522,72.5
1,31,0,0,0,0,27.44,30.68571429,24.84285714,80.29,60.93,335474.2398,72.47498706
1,32,0,0,0,0,28.61,31.88571429,25.9,75.57,0,335426.4864,72.44998275
1,33,0,0.33,0.5465,0.333333333,28.59,32.35714286,25.31428571,74.86,10.71,335378.7398,72.42498706
1,34,0,0,0,0,28.03,31.4,24.8,73.86,24.08,335331,72.4
1,35,0,0,0,0,27.47,30.91428571,24.72857143,76.14,10.17,335320.2495,72.4
1,36,0,0,0,0,27.87,31.68571429,24.78571429,72.71,0.17,335309.4993,72.4
1,37,0,0.25,0.543375,0.25,28.04,31.92857143,24.54285714,69.71,0,335298.7495,72.4
1,38,0,0,0,0,25.41,29.18571429,22.85714286,73,2,335288,72.4
1,39,0,0,0,0,26.37,29.5,23.72857143,70.71,3.93,335277.2509,72.4
1,40,0,0,0,0,24.47,28.32857143,21.44285714,66.86,0.07,335271.7488,72.4
1,41,0,0.13,0.3125,0.133333333,24.61,28.95714286,20.75714286,65,0,335255.4984,72.4
1,42,0,0.14,2.292,0.137142857,24.36,28.61428571,21.18571429,65.14,0,335239.2488,72.4
1,43,0,0.09,5,0.088166667,24.17,29,20.95714286,76.57,2.43,335223,72.4
1,44,0,0.5,1.923,0.5,22.5,24.61428571,21.01428571,83.86,11.25,335214.7497,72.4
1,45,0,0.3,2.156083333,0.299983333,22.64,25.97142857,19.94285714,72.43,0,335206.4996,72.4
1,46,0,0.33,3.45084,0.325285714,21.51,24,19.54285714,79.57,7.43,335198.2497,72.4
1,47,0,0.99,2.616375,0.56925,20.8,23.18571429,19.3,85.71,4.14,335190,72.4
1,48,0,0,0,0,20.39,23.75714286,18.08571429,81.71,3.5,335139.7387,72.4
1,49,0,0.3,0.97735,0.3,19.03,21.21428571,17.41428571,79.43,11,335089.4849,72.4
1,50,0,0.34,2,0.057142857,19.27,22.08571429,17.27142857,80.86,5.07,335039.2387,72.4
1,51,0,0,0,0,19.71,23.18571429,16.98571429,75.57,5.58,334989,72.4
1,52,0,0,0,0,18.61,21.31428571,16.51428571,76.57,6.93,334938.7688,72.4
1,53,0,0.27,0.861066667,0.266666667,16.69,19.88571429,14.1,74.71,1.7,334989.5,72.4
1,54,0,0.11,0.422150794,0.114285714,19.37,22.12857143,17.07142857,76.43,3.21,334990,72.4
1,55,0,0.29,2.960266667,0.292033333,17.4,20.35714286,14.85714286,64.86,1.21,334990.5,72.4
1,56,0,0,0,0,18.94,22.05714286,16.25714286,75.43,2.58,334991,72.4
1,57,0,0.64,14.43175,0.4724,18.46,21.54285714,15.48571429,70.71,5.07,334961.246,72.37498704
1,58,0,0.68,4.839907143,0.639133081,21.37,24.25714286,19.4,77.71,3.29,334931.4947,72.34998272
1,59,0,0,0,0,20.16,23.57142857,17.28571429,74.14,0.79,334901.746,72.32498704
1,60,0,0.18,1.071121795,0.175857843,20.5,23.68571429,18.01428571,72.43,0.43,334872,72.3
1,61,0,0.08,0.2,0.083333333,20.54,23.22857143,18.42857143,74.86,1.93,334831.9928,72.3
1,62,0,0.04,0.16,0.04,19.31,23.04285714,15.8,61.43,0.5,334791.9904,72.3
1,63,0,0.2,0.2941,0.2,21.27,24.77142857,18.17142857,67.43,0.17,334751.9928,72.3
1,64,0,0.35,1.080033333,0.346666667,23.66,27.28571429,20.32857143,76.14,6.29,334712,72.3
1,65,0,0.13,0.4315,0.125,21.76,24.55714286,19.37142857,78.57,1.4,334672.0119,72.3
1,66,0,0.17,3.95825,0.174571429,21.47,24.65714286,18.95714286,79.57,5.71,334662.2389,72.3
1,67,0,0.26,0.884734694,0.261904762,18.4,20.92857143,16.7,81.57,7.57,334612.4852,72.3
1,68,0,0.07,1.198979592,0.051386364,23.54,27.07142857,20.75714286,79.71,1.43,334562.7389,72.3
1,69,0,0,0,0,21.77,24.41428571,19.5,78.43,3.33,334513,72.3
1,70,0,0,0,0,21.89,25.67142857,19.05714286,78,4,334501.7494,72.3
1,71,1,0.32,0.646727606,0.324175824,23.54,25.97142857,21.91428571,91.57,43.36,334490.4992,72.3
1,72,0,0.19,0.436214286,0.19047619,25.5,28.87142857,22.98571429,86.29,7,334479.2494,72.3
1,73,0,0.77,11.07137222,0.767505556,25.8,28.7,24.12857143,87.57,8.43,334468,72.3
1,74,0,0.28,1.32616,0.21332,27.9,31.62857143,24.62857143,76.71,0.03,334426.4923,72.27498702
1,75,0,0.08,0.360571429,0.080942857,27.51,31.07142857,24.65714286,77,4,334384.9897,72.2499827
1,76,0,0.2,0.500839387,0.195402116,26.94,30,24.75714286,82.71,20.93,334343.4923,72.22498703
1,77,0,0.19,0.54825,0.194366667,27.73,30.74285714,25.12857143,77.14,0.83,334302,72.2
1,78,0,0,0,0,28.6,31.94285714,25.67142857,73,0,334260.5129,72.17502162
1,79,0,0.08,0.411285714,0.075702076,28.94,32.08571429,26.04285714,74,0.43,334258.4915,72.2
1,80,0,0.25,0.631542125,0.230456044,28.61,32.77142857,25.22857143,70.14,1.43,334214.9887,72.2
1,81,0,0.11,0.370333333,0.111111111,27,30.35714286,24.25714286,79.86,4.92,334171.4915,72.2
1,82,0,0.56,2.802416667,0.5555,28.63,32.05714286,25.58571429,77.14,0,334128,72.2
1,83,1,0,0,0,28.39,32.04285714,25.47142857,76.14,0.36,334105.7478,72.2
1,84,0,0.28,0.682566667,0.275,29.24,33.04285714,26.1,73.57,0,334083.497,72.2
1,85,0,0.21,0.52529,0.21,28.09,32.04285714,25.31428571,73.71,1.43,334061.2478,72.2
1,86,0,0.14,0.538166667,0.142857143,27.86,31.38571429,25.48571429,77.71,6.44,334039,72.2
1,87,0,0.63,3.137,0.625,28.04,31,25.17142857,76.71,2.42,334016.7537,72.2
1,88,0,0.29,0.91834127,0.238095238,25.96,29.52857143,23.4,77.86,7.29,334032.7498,72.2
1,89,0,0.18,0.780703333,0.17697619,27.81,31.3,24.48571429,72.71,1.3,334026.4998,72.2
1,90,0,0.14,0.558036364,0.141357576,27.14,31.17142857,23.37142857,75.57,41.83,334020.2498,72.2
1,91,0,0,0,0,26.13,29.3,23.54285714,72.43,25.14,334014,72.2
1,92,0,0.29,1.592124444,0.241885714,26.49,30.61428571,23.35714286,69.43,0.36,334000.7492,72.2
1,93,0,0.07,0.147785714,0.071428571,26.49,29.54285714,23.91428571,80.14,19.07,333987.4989,72.2
1,94,0,0.13,0.26875,0.125,24.09,27.65714286,21.28571429,73.43,2.71,333974.2492,72.2
1,95,0,0,0,0,23.41,27.11428571,20.42857143,64.43,0,333961,72.2
1,96,1,1.2,11.80555556,0.740611111,22.94,26.82857143,19.75714286,76.29,18.14,333944.9989,72.174987
1,97,0,0.23,0.603448485,0.226262626,23.87,26.48571429,21.9,84.43,3.29,333928.9985,72.14998267
1,98,0,0.09,0.291514286,0.087301587,22.7,25.67142857,20.65714286,83.71,1,333912.9989,72.12498701
1,99,0,0,0,0,19.89,22.98571429,17.87142857,68.86,6.93,333897,72.1
1,100,0,1.33,3.703666667,1.333333333,18.93,22.54285714,15.87142857,69,0.29,333881.0019,72.07502165
1,101,0,0.25,1.135216667,0.252941176,18.66,22.78571429,14.92857143,64.86,1.67,333878.4985,72.1
1,102,0,0.02,0.058477778,0.022222222,18.99,21.84285714,16.98571429,79.43,5.83,333859.9979,72.1
1,103,0,0,0,0,18.21,20.08571429,16.58571429,79.71,8.33,333841.4985,72.1
1,104,0,0,0,0,17.04,19.7,14.81428571,69.86,0.07,333823,72.1
1,105,0,0.5,3.17425,0.5,18.6,21.85714286,16.07142857,67.57,0,333780.4919,72.1
1,106,0,0.08,0.218622564,0.075551899,17.73,20.91428571,15.05714286,72.14,0.67,333737.9892,72.1
1,107,0,0.23,1.147071429,0.231481481,17.59,21.11428571,14.25714286,63.57,0,333695.4919,72.1
1,108,0,0,0,0,16.39,20.57142857,12.34285714,57,0.07,333653,72.1
1,109,0,0,0,0,19.46,23.82857143,15.55714286,66.71,0,333649.4999,72.1
1,110,0,0.18,0.65565,0.177777778,19.77,22.15714286,17.94285714,82.86,2.71,333645.9999,72.1
1,111,0,0.23,1.330730576,0.228571429,14.9,16.6,13.32857143,81.86,4.14,333642.4999,72.1
1,112,0,0,0,0,17.04,20.08571429,13.98571429,74.14,1.93,333639,72.1
1,113,0,0,0,0,19.34,22.95714286,16.98571429,80.29,1.6,333652.7492,72.1
1,114,0,0.02,0.446428571,0.021978022,17.97,21.04285714,15.8,79.57,2.93,333666.4989,72.1
1,115,0,0.15,0.341866667,0.15,16.74,18.88571429,15.1,76.86,1.79,333680.2492,72.1
1,116,0,0,0,0,19.37,22.68571429,16.47142857,75,0.14,333694,72.1
1,117,0,0,0,0,22.23,25.77142857,19.08571429,75.71,3,333707.7514,72.1
1,118,0,0.2,0.725466667,0.2,20.44,22.91428571,18.58571429,78.57,2.5,333687.4998,72.1
1,119,0,0.17,0.571709821,0.172222222,21.36,24.97142857,19.3,82,2.43,333680.9997,72.1
1,120,0,0.11,0.48155,0.106666667,23.34,26.22857143,20.61428571,73.43,0.14,333674.4998,72.1
1,121,0,0.33,4.166666667,0.266666667,23.44,26.68571429,21.4,84.43,9.57,333668,72.1
1,122,0,0,0,0,21.97,24.15714286,20.34285714,87.71,11.57,333658.4996,72.1
1,123,0,0.3,0.976919388,0.265292517,22.2,25.01428571,19.97142857,86.29,8.5,333648.9995,72.1
1,124,0,0.16,0.691195,0.156472222,26.19,29.55714286,23.74285714,82.57,2.21,333639.4996,72.1
1,125,0,0.93,7.499966667,0.86664,25.01,27.95714286,22.91428571,85.86,8.71,333630,72.1
1,126,0,0.08,0.5,0.0833,27.2,30.62857143,24.67142857,83.71,4.21,333620.5007,72.1
1,127,0,0.23,0.995539683,0.173539683,26.53,29.34285714,24.24285714,83,3.67,333649.2483,72.1
1,128,0,0.31,1.6125,0.31064966,26.5,29.5,24.42857143,81,1.43,333668.4978,72.1
1,129,1,3.06,7.696,2.061611111,28.49,31.8,25.9,81.86,1.07,333687.7483,72.1
1,130,0,0.13,0.4444,0.133333333,28.83,32.22857143,26.35714286,80.86,0,333707,72.1
1,131,0,0.51,1.5512,0.5133,29.69,33.27142857,26.51428571,77.43,3.86,333713.4998,72.1
1,132,0,0.33,1.177166667,0.333316667,30.51,33.85714286,27.75714286,74.71,0,333719.9997,72.1
1,133,0,0.33,1.702547619,0.278902041,29.81,33.42857143,26.92857143,75.29,1.14,333726.4998,72.1
1,134,0,0.43,1.99167197,0.399621212,28.2,31.64285714,25.32857143,82,46.43,333733,72.1
1,135,0,0.26,2.984704396,0.262852381,29.43,32.8,26.1,76.14,0,333682.4885,72.1
1,136,0,0.82,2.600658974,0.799995238,29.3,33.18571429,26.27142857,77.71,0.36,333631.9847,72.1
1,137,0,0.75,7.113066667,0.753952381,29.09,33.37142857,26.24285714,81.29,1.83,333581.4885,72.1
1,138,0,0.22,0.690880952,0.159852041,28.39,32.12857143,25.31428571,80,1.36,333531,72.1
1,139,0,1.32,6.507866667,0.56665,29.23,33.24285714,25.9,74.57,0,333480.5191,72.1
1,140,0,0.7,2.851494872,0.680947619,29.37,33.72857143,25.67142857,71.43,0.64,333501.4961,72.07498699
1,141,1,0.15,0.4151875,0.122216667,29.21,33.62857143,25.75714286,77.57,0.36,333471.9948,72.04998265
1,142,0,0.49,3.618781818,0.327266667,29,32.57142857,26.3,79.29,1.93,333442.4961,72.02498699
1,143,0,0.37,1.80952381,0.292047619,27.03,30.12857143,24.84285714,85.43,22.43,333413,72
1,144,0,0.1,0.617,0.102564103,27.01,30.64285714,23.81428571,72.71,0,333430.7486,72
1,145,0,0.43,1.83787963,0.425997802,26.03,29.85714286,22.57142857,66,0.86,333448.4981,72
1,146,0,0.14,1.351171429,0.140206085,23.56,26.95714286,20.67142857,68.86,3.43,333466.2486,72
1,147,0,0.12,2.083321429,0.118511111,24.87,28.2,22.11428571,78.14,0,333484,72
1,148,0,0.94,2.62337963,0.6111,24.81,28.32857143,21.82857143,73,0.5,333460.9976,72
1,149,0,0.12,0.45955,0.116633333,22.49,25.68571429,19.5,69.43,0,333437.9968,72
1,150,0,0.41,2.145644444,0.339382828,21.41,24.18571429,19.57142857,82.71,8.36,333414.9976,72
1,151,1,0.58,1.090866667,0.355533333,22.17,25.41428571,18.97142857,76.14,1.33,333392,72
1,152,0,0.76,2.425866667,0.411,23.57,27.32857143,20.21428571,80,0,333369.004,72
1,153,0,0.93,9.283825,0.566666667,19.27,22.1,16.61428571,74,1.29,333353.9935,72
1,154,0,0.15,0.30534,0.15,19,21.38571429,16.64285714,77.86,2.25,333315.9913,72
1,155,0,0.42,4.952333333,0.416666667,16.56,19.22857143,14.15714286,71.86,0.29,333277.9935,72
1,156,0,0.67,3.03,0.666666667,17.3,19.9,15.22857143,75.71,3.08,333240,72
1,157,0,0.33,1.018416667,0.333333333,16.51,19.27142857,14.1,69.29,1.07,333197.4919,72
1,158,0,0.4,1.118493333,0.397071429,18.11,21.11428571,15.3,72,0.07,333154.9892,72
1,159,0,0.32,1.428916667,0.315464286,17.39,19.55714286,15.47142857,77.14,2.75,333112.4919,72
1,160,0,0.2,2.05425,0.203666667,17.63,20.7,15.12857143,65.86,0,333070,72
1,161,0,1.11,4.3478,0.111066667,18.66,21.51428571,16.62857143,78.29,1.07,333027.5136,72
1,162,0,0.55,3.418625,0.549966667,16.74,19.77142857,14.47142857,78.71,0.92,333011.7347,71.97498697
1,163,0,0.2,3.549177778,0.203308802,16.23,19.07142857,13.54285714,71.29,0.21,332953.4796,71.94998263
1,164,0,0,0,0,19.09,21.58571429,16.9,83,0.67,332895.2347,71.92498697
1,165,0,0.92,26.4705,0.9165,22.01,25.71428571,19.62857143,82.86,0.3,332837,71.9
1,166,0,0.52,2.010771429,0.516151515,18.86,21.52857143,16.62857143,80.57,0.67,332796.2425,71.9
1,167,0,0.3,11.4375,0.295904762,19.07,22.72857143,16,79.29,3.57,332755.49,71.9
1,168,0,0.56,9.600266667,0.527766667,23.56,27,20.27142857,79.29,0.71,332714.7425,71.9
1,169,0,0.42,1.851833333,0.27775,19.14,21.2,17.8,85.86,7.71,332674,71.9
1,170,0,0.49,2.488866667,0.488866667,24.33,27.9,20.98571429,79.86,0.14,332623.4885,71.87498695
1,171,0,0.62,21.04293333,0.616633333,21.59,24,19.48571429,85,2.83,332572.9847,71.8499826
1,172,0,0.69,2.554444444,0.694388889,22,25.45714286,18.84285714,77.14,1.79,332522.4885,71.82498695
1,173,0,0.24,1.515,0.238071429,22.77,26.22857143,20.51428571,84.43,2.42,332472,71.8
1,174,0,0,2.081364286,0,24.21,27.27142857,21.72857143,84.29,3.36,332459.9994,71.8
1,175,0,0.31,2.647728571,0.276537037,25.17,28.55714286,22.45714286,84.43,5.86,332447.9991,71.8
1,176,0,0.35,2.656770833,0.311500992,25.73,29.28571429,22.7,84.29,2.93,332435.9994,71.8
1,177,0,1.22,10.61238889,1.129611111,25.74,28.74285714,22.9,82.57,1.83,332424,71.8
1,178,0,0.42,2.857,0.27775,25.77,28.55714286,23.7,89.57,8.29,332412.0011,71.8
1,179,0,1.06,3.472083333,0.611083333,27.8,30.85714286,25.37142857,84.14,4.43,332378.4907,71.8
1,180,0,0.19,0.56,0.123376623,28.63,31.82857143,25.54285714,79.29,0,332332.9875,71.8
1,181,0,0.63,4.329733333,0.629611111,29.36,32.84285714,26.05714286,77.29,0.14,332287.4907,71.8
1,182,0,0.15,1.652133333,0.14666,29.03,32.81428571,25.9,82.14,16.29,332242,71.8
1,183,0,0.58,4.57545,0.471066667,30.03,33.48571429,26.81428571,76.29,0,332204.2436,71.77498693
1,184,0,0.17,1.14536,0.166666667,29.11,32.54285714,26.31428571,78.29,1.3,332166.4914,71.74998258
1,185,0,0.65,5.62236,0.352361905,29.24,33.2,25.77142857,75.43,0.5,332128.7436,71.72498694
1,186,0,0.67,4,0.333333333,28.59,31.85714286,25.95714286,78.57,0.14,332091,71.7
1,187,0,2.61,25.3938,1.878364706,28.87,33.1,25.58571429,72.86,0,332074.7488,71.7
1,188,0,0.6,2.746714286,0.478887755,29.01,33.12857143,25.32857143,72.71,27.79,332058.4984,71.7
1,189,1,0.69,6.655111111,0.552709184,28.31,31.8,25.55714286,88.43,4,332042.2488,71.7
1,190,1,0.41,1.420666667,0.407388889,27.94,31.17142857,25.31428571,84.86,31.64,332026,71.7
1,191,1,1.28,6.81775,1,26.83,30.22857143,24.6,89.71,15.75,332009.752,71.7
1,192,3,2,3.328,1.142857143,27.14,30.64285714,24.64285714,87.43,8.93,332035.2496,71.7
1,193,1,1.72,4.552583333,0.95,26.64,30.47142857,23.07142857,74.86,0.83,332044.4995,71.7
1,194,1,0.26,1.430425,0.233333333,26.61,30.4,23.44285714,75.57,0.86,332053.7496,71.7
1,195,2,0.8,3.75,0.4,27,30.57142857,24.42857143,79.29,0.14,332063,71.7
1,196,0,0.5,3.333166667,0.5,27.26,30.44285714,24.67142857,86,27.29,332055.4997,71.7
1,197,0,0.36,1.6427625,0.36,26.59,29.71428571,24.42857143,80.43,4.42,332047.9997,71.7
1,198,2,0.4,1.658466667,0.255102041,24.07,27.3,20.37142857,66.29,0,332040.4997,71.7
1,199,2,0.15,3.042083333,0.153333333,24.54,27.38571429,22.41428571,83.57,6,332033,71.7
1,200,0,0.4,2.17375,0.4,24.61,27.67142857,21.81428571,82.29,3.93,332025.5004,71.7
1,201,0,0.53,2.3906,0.477777778,23.84,26.72857143,21.88571429,90.57,23.71,332010.9978,71.7
1,202,1,0.34,1.5657,0.285714286,24.37,27.34285714,21.98571429,86.14,2.79,331988.9971,71.7
1,203,0,0.11,0.2525,0.111111111,24.93,28.24285714,22.31428571,84.14,16.14,331966.9978,71.7
1,204,0,0.67,16.7580625,0.666666667,21.41,25.18571429,18.72857143,71.86,0.21,331945,71.7
1,205,0,1.06,3.172083333,0.888888889,21.37,24.31428571,18.85714286,76.57,0.21,331919.9972,71.7
1,206,1,1,4.54525,1,20.37,22.34285714,18.94285714,86.57,9.71,331894.9962,71.7
1,207,0,0.27,2.269828571,0.271428571,19,21.87142857,16.5,75.14,4.07,331869.9972,71.7
1,208,0,0,0,0,21.79,24.82857143,19.07142857,81.57,0.71,331845,71.7
1,209,0,0,0,0,19.89,22.65714286,17.74285714,75.14,1.5,331833.9995,71.7
1,210,0,0.93,6.4825875,0.599537037,20.44,22.65714286,18.81428571,85,7.57,331822.9993,71.7
1,211,0,0.18,0.971653333,0.177777778,18.39,20.68571429,16.37142857,84.86,1.79,331811.9995,71.7
1,212,0,2.67,8,0.666666667,17.64,19.71428571,15.54285714,82.86,3.43,331801,71.7
1,213,0,0,0,0,15.46,18.22857143,13.32857143,84.43,11.9,331790.0009,71.7
1,214,0,0.7,3.5700625,0.7,17.63,19.91428571,15.77142857,76.71,0.58,331758.992,71.67498691
1,215,0,0.6,2.628,0.6,18.63,22.02857143,14.98571429,73.14,0.57,331716.9894,71.64998255
1,216,0,0.94,8.052071296,0.907141591,16.81,19.95714286,14.31428571,80.71,2.92,331674.992,71.62498692
1,217,0,0.1,0.73525,0.1,17.97,20.45714286,15.9,75.43,0.3,331633,71.6
1,218,0,0.57,2.39005,0.568178571,18.99,22.51428571,15.97142857,70.14,0.07,331599.2448,71.6
1,219,0,0.54,2.002529762,0.452777778,19.21,21.88571429,16.92857143,86.57,10,331565.4931,71.6
1,220,0,0.46,2.00212,0.461111111,20.09,23.14285714,17.62857143,84.57,3.79,331531.7448,71.6
1,221,0,0.27,8.333,0.266666667,17.89,19.82857143,16.44285714,84.86,4.07,331498,71.6
1,222,0,2,6.060555556,0.166666667,19.73,23.61428571,16.2,72.43,0.2,331468.246,71.6
1,223,0,0.44,7.2265625,0.36,25.01,28.34285714,22.21428571,80,0,331438.4947,71.6
1,224,0,0.56,6.651964286,0.563888889,23.46,25.9,21.61428571,88.86,8.29,331408.746,71.6
1,225,0,0.17,3.863394444,0.172503401,25.01,28.81428571,21.95714286,82.43,0.1,331379,71.6
1,226,0,0.5,26.38883333,0.5,24.54,27.75714286,22.08571429,81.71,0.79,331349.2567,71.6
1,227,0,1.52,8.50875,0.8,26.71,30.27142857,23.65714286,81.43,1.36,331377.25,71.6
1,228,0,1.72,11.04844444,1.205555556,26.29,29.97142857,23.55714286,80.43,11.13,331375.5,71.6
1,229,0,0.58,19.9305,0.478571429,24.91,28.14285714,22.54285714,82.14,6.33,331373.75,71.6
1,230,0,0.13,4,0.1,27.13,30.4,24.94285714,85.43,11.71,331372,71.6
1,231,1,0.34,14.47612,0.344444444,29.03,32.38571429,26.11428571,81.43,1.14,331359.7493,71.6
1,232,0,0.13,0.451114286,0.125,27.43,31.3,25.17142857,83,4.33,331347.4991,71.6
1,233,0,0.36,2.380875,0.222222222,27.84,30.9,25,83.43,6.29,331335.2493,71.6
1,234,0,0.16,0.66665,0.16,28.76,32.01428571,25.8,82.57,8.07,331323,71.6
1,235,0,0.67,16.12188889,0.666666667,28.91,31.84285714,26.02857143,82.14,5.93,331325.25,71.6
1,236,0,0.79,3.5745,0.626666667,28.93,31.72857143,26.34285714,82.86,43.14,331327.5,71.6
1,237,0,0.63,7.065364444,0.361904762,28.46,31.35714286,25.91428571,84.86,1.17,331329.75,71.6
1,238,0,0.32,10.02704762,0.319444444,29.41,32.87142857,26.31428571,80.71,1.79,331332,71.6
1,239,0,0.29,0.303904762,0.285714286,29.77,33.58571429,26.32857143,77.71,0.5,331334.25,71.6
1,240,0,0.86,20.48074333,0.782857143,28.87,32.74285714,25.74285714,81.14,12.14,331304.7466,71.6
1,241,0,1.24,4.550571429,0.857142857,28.57,32.17142857,25.64285714,83.43,20,331277.4955,71.6
1,242,0,0.5,7.458941667,0.444444444,28.64,32.38571429,25.62857143,82,3.5,331250.2466,71.6
1,243,1,0.6,1.3636,0.4,29.4,33.2,25.95714286,78.57,5.71,331223,71.6
1,244,0,2.23,13.19921429,1.828571429,27.26,30.82857143,24.61428571,79.57,0,331183.4929,71.5749869
1,245,0,0.85,1.663041667,0.657407407,28.31,31.97142857,25.71428571,81.71,19.92,331143.9906,71.54998253
1,246,0,0.12,0.46995,0.12,27.19,30.35714286,24.68571429,82.71,48.64,331104.4929,71.5249869
1,247,0,0.76,1.62764,0.571428571,26.13,29.48571429,23.72857143,79.14,5.57,331065,71.5
1,248,0,0,0,0,27.17,30.62857143,24.37142857,81.57,51.93,331031.2448,71.5
1,249,0,0.48,5.927875,0.484126984,26.5,29.55714286,23.94285714,81.57,59.5,330997.4931,71.5
1,250,0,0.39,2.811238095,0.328571429,26.41,29.94285714,24.02857143,81.71,15.28,330963.7448,71.5
1,251,0,0.31,1.168844444,0.307482993,27.03,30.7,24.5,81.57,25.42,330930,71.5
1,252,0,0.42,1.04755,0.25,26.96,29.84285714,24.54285714,79.71,2.5,330896.2586,71.5
1,253,0,0.1,8.333333333,0.1,24.03,26.98571429,21.91428571,70.14,0.17,330925.2499,71.5
1,254,0,0.57,1.58047619,0.5,22.87,26.28571429,20.2,73.71,8.5,330920.4999,71.5
1,255,0,0.83,5.134614583,0.561904762,24.69,28.34285714,21.58571429,74.43,0.08,330915.7499,71.5
1,256,0,0.43,0.892833333,0.285714286,22.73,25.32857143,21.04285714,82.86,11.93,330911,71.5
1,257,0,2.5,6.7305,2,21.76,24.02857143,20.11428571,75.29,8.3,330885.7471,71.5
1,258,0,0.13,0.28568,0.133333333,22.36,25.57142857,20.21428571,72.86,1.36,330860.4961,71.5
1,259,0,0.53,2.9118,0.4,19.74,22.61428571,17.34285714,71.71,4.3,330835.2471,71.5
1,260,0,1.5,2.34375,1.5,21.37,24.58571429,19,71.57,0.29,330810,71.5
1,261,0,3,6.25,3,19.76,22.84285714,17.32857143,69.14,1.43,330784.7548,71.5
1,262,0,0.3,0.71985,0.3,22.19,25.75714286,19.8,77.29,0.43,330780.246,71.47498688
1,263,1,0.28,0.897375,0.28,19.5,21.8,17.8,76.14,0.75,330750.4946,71.44998251
1,264,0,0.18,0.565822222,0.177777778,18.4,21.42857143,15.75714286,76,0.75,330720.746,71.42498688
1,265,0,0.04,0.084028571,0.04,17.91,20.75714286,15.2,70.14,0.93,330691,71.4
1,266,0,0.44,2.557142857,0.375,20.03,23.22857143,17.84285714,72.43,3.14,330639.2378,71.4
1,267,0,0.43,1.376285714,0.428571429,17.59,20.04285714,15.85714286,67.71,0.57,330587.4838,71.4
1,268,0,0.42,2.587064815,0.416666667,18.24,21.95714286,14.84285714,68.86,0.93,330535.7378,71.4
1,269,0,0.27,1.0237,0.266666667,20.01,22.71428571,17.77142857,78.29,2,330484,71.4
1,270,0,0.22,1.103916667,0.222222222,17.67,20.78571429,15.67142857,73.86,0.79,330448.7444,71.4
1,271,0,1.55,9.0904,0.878571429,18.24,20.75714286,16,83.57,7.43,330413.4925,71.4
1,272,0,0.79,4.349428571,0.5,20.06,23.12857143,17.88571429,78.86,0.79,330378.2444,71.4
