,County,YYYYWW,Population,Pop Density
54,New Taipei,2013_03,3941961.227942978,1920.4749877949284
55,New Taipei,2013_04,3942201.999999999,1920.6
56,New Taipei,2013_05,3942371.989004714,1920.674995607242
57,New Taipei,2013_06,3942541.9853394073,1920.749994142913
58,New Taipei,2013_07,3942711.9890043973,1920.8249956071277
59,New Taipei,2013_08,3942881.999999999,1920.9000000000003
60,New Taipei,2013_09,3943016.7430928266,1920.974995607928
61,New Taipei,2013_10,3943151.49079033,1921.0499941438277
62,New Taipei,2013_11,3943286.2430926696,1921.1249956078134
63,New Taipei,2013_12,3943421.000000002,1921.1999999999998
64,New Taipei,2013_13,3943555.761512483,1921.2750073205011
65,New Taipei,2013_14,3943804.4440692915,1921.399968777103
66,New Taipei,2013_15,3944187.925423305,1921.5999583680264
67,New Taipei,2013_16,3944571.444065665,1921.7999687749366
68,New Taipei,2013_17,3944954.999999998,1922.0000000000002
69,New Taipei,2013_18,3945163.4834724767,1922.099992196577
70,New Taipei,2013_19,3945371.9779629144,1922.1999895952556
71,New Taipei,2013_20,3945580.483471894,1922.2999921963067
72,New Taipei,2013_21,3945788.999999999,1922.4000000000005
73,New Taipei,2013_22,3946243.671406605,1922.62496050938
74,New Taipei,2013_23,3946698.3952047816,1922.8499473437864
75,New Taipei,2013_24,3947153.1714005666,1923.0749605062992
76,New Taipei,2013_25,3947607.9999999986,1923.3000000000004
77,New Taipei,2013_26,3948062.881009116,1923.525065827971
78,New Taipei,2013_27,3948147.1395414975,1923.549951270433
79,New Taipei,2013_28,3948686.352715292,1923.7999350244293
80,New Taipei,2013_29,3949225.63953144,1924.0499512662107
81,New Taipei,2013_30,3949764.9999999986,1924.2999999999993
82,New Taipei,2013_31,3950168.938030342,1924.4999688273897
83,New Taipei,2013_32,3950572.9173709727,1924.69995843508
84,New Taipei,2013_33,3950976.938026118,1924.89996882523
85,New Taipei,2013_34,3951381.0000000005,1925.0999999999992
86,New Taipei,2013_35,3951785.103296848,1925.300051961548
87,New Taipei,2013_36,3951619.478409736,1925.224987827152
88,New Taipei,2013_37,3951857.971212402,1925.349983769185
89,New Taipei,2013_38,3952096.478408868,1925.4749878266255
90,New Taipei,2013_39,3952335.000000001,1925.6000000000008
91,New Taipei,2013_40,3952715.6949927765,1925.774976148857
92,New Taipei,2013_41,3953096.42665468,1925.9499681975128
93,New Taipei,2013_42,3953477.194989245,1926.1249761474123
94,New Taipei,2013_43,3953858.000000001,1926.3000000000002
95,New Taipei,2013_44,3954125.722806786,1926.424987834734
96,New Taipei,2013_45,3954393.4637415633,1926.5499837792947
97,New Taipei,2013_46,3954661.2228055587,1926.6749878342084
98,New Taipei,2013_47,3954929.0,1926.8000000000006
99,New Taipei,2013_48,3955196.7953261137,1926.9250202771982
100,New Taipei,2013_49,3955140.9829560607,1926.8999922160142
101,New Taipei,2013_50,3955352.977274341,1926.9999896211725
102,New Taipei,2013_51,3955564.9829554516,1927.0999922157446
103,New Taipei,2013_52,3955777.0,1927.1999999999998
104,New Taipei,2014_01,3955793.2498998703,1927.2249995135578
105,New Taipei,2014_02,3955809.4998664935,1927.2499993514075
106,New Taipei,2014_03,3955825.74989987,1927.2749995135534
107,New Taipei,2014_04,3955841.999999999,1927.2999999999997
108,New Taipei,2014_05,3955728.995157851,1927.2249956217163
109,New Taipei,2014_06,3955615.9935438624,1927.1499941623642
110,New Taipei,2014_07,3955502.9951579426,1927.0749956218299
111,New Taipei,2014_08,3955389.999999999,1927.0000000000002
112,New Taipei,2014_09,3955268.744424337,1926.949998053852
113,New Taipei,2014_10,3955147.492565859,1926.8999974051585
114,New Taipei,2014_11,3955026.2444244516,1926.8499980538857
115,New Taipei,2014_12,3954905.0000000005,1926.7999999999997
116,New Taipei,2014_13,3954783.759292392,1926.7500032434673
117,New Taipei,2014_14,3955177.471840924,1926.9249878378903
118,New Taipei,2014_15,3955449.9624537034,1927.049983783503
119,New Taipei,2014_16,3955722.4718396314,1927.1749878373641
120,New Taipei,2014_17,3955995.0000000014,1927.2999999999995
121,New Taipei,2014_18,3956178.237268588,1927.3999922180335
122,New Taipei,2014_19,3956361.483024522,1927.499989623865
123,New Taipei,2014_20,3956544.7372681946,1927.5999922177643
124,New Taipei,2014_21,3956727.9999999986,1927.7000000000003
125,New Taipei,2014_22,3956911.2712203283,1927.8000129708416
126,New Taipei,2014_23,3957037.213751062,1927.8499824952673
127,New Taipei,2014_24,3957346.451666824,1927.9999766597512
128,New Taipei,2014_25,3957655.713749173,1928.1499824943596
129,New Taipei,2014_26,3957965.0,1928.3000000000004
130,New Taipei,2014_27,3958437.4154133196,1928.5249606301759
131,New Taipei,2014_28,3958909.887213272,1928.74994750486
132,New Taipei,2014_29,3959382.4154065894,1928.9749606271141
133,New Taipei,2014_30,3959855.000000002,1929.2000000000005
134,New Taipei,2014_31,3960234.6953851967,1929.3999689065467
135,New Taipei,2014_32,3960614.427177935,1929.5999585406303
136,New Taipei,2014_33,3960994.1953817056,1929.7999689043984
137,New Taipei,2014_34,3961374.0000000005,1930.0000000000005
138,New Taipei,2014_35,3961753.8410363104,1930.2000518295856
139,New Taipei,2014_36,3961760.4434483144,1930.1749762032211
140,New Taipei,2014_37,3962146.9245953006,1930.3499682700026
141,New Taipei,2014_38,3962533.443444637,1930.5249762017831
142,New Taipei,2014_39,3962919.9999999995,1930.7000000000005
143,New Taipei,2014_40,3963182.4739224096,1930.8249878624538
144,New Taipei,2014_41,3963444.9652291113,1930.9499838162558
145,New Taipei,2014_42,3963707.473921257,1931.0749878619295
146,New Taipei,2014_43,3963969.999999998,1931.1999999999991
147,New Taipei,2014_44,3964681.8082484333,1931.5499048921217
148,New Taipei,2014_45,3965393.7443159423,1931.8998731818376
149,New Taipei,2014_46,3966105.808225479,1932.249904880634
150,New Taipei,2014_47,3966818.0000000023,1932.6000000000001
151,New Taipei,2014_48,3967530.31966247,1932.9501585514263
152,New Taipei,2014_49,3967006.2366010468,1932.6999922393722
153,New Taipei,2014_50,3967194.4821344456,1932.7999896523183
154,New Taipei,2014_51,3967382.7366006216,1932.8999922391051
155,New Taipei,2014_52,3967570.9999999986,1933.0000000000007
156,New Taipei,2014_53,3967532.999454062,1932.974999514988
157,New Taipei,2015_01,3967494.999272085,1932.9499993533204
158,New Taipei,2015_02,3967456.9994540657,1932.9249995149924
159,New Taipei,2015_03,3967419.0000000005,1932.9000000000005
160,New Taipei,2015_04,3967381.000909886,1932.87500080834
161,New Taipei,2015_05,3966976.425950389,1932.6749607025029
162,New Taipei,2015_06,3966533.9012708566,1932.4499476053707
163,New Taipei,2015_07,3966091.425955896,1932.224960705553
164,New Taipei,2015_08,3965649.0,1932.0
165,New Taipei,2015_09,3965458.7363077463,1931.9249956323683
166,New Taipei,2015_10,3965268.481743953,1931.8499941765663
167,New Taipei,2015_11,3965078.236308184,1931.7749956324813
168,New Taipei,2015_12,3964887.9999999995,1931.6999999999996
169,New Taipei,2015_13,3965147.4745276654,1931.8249878687366
170,New Taipei,2015_14,3965406.966036146,1931.9499838246334
171,New Taipei,2015_15,3965666.4745265543,1932.0749878682134
172,New Taipei,2015_16,3965925.999999999,1932.2000000000003
173,New Taipei,2015_17,3965957.4996247166,1932.2
174,New Taipei,2015_18,3965988.9994996213,1932.2
175,New Taipei,2015_19,3966020.4996247157,1932.2
176,New Taipei,2015_20,3966052.000000002,1932.2
177,New Taipei,2015_21,3966083.500625482,1932.2
178,New Taipei,2015_22,3966056.7499914668,1932.2
179,New Taipei,2015_23,3966061.499988622,1932.2
180,New Taipei,2015_24,3966066.2499914668,1932.2
181,New Taipei,2015_25,3966071.0,1932.2
182,New Taipei,2015_26,3966186.4949549525,1932.2749956336113
183,New Taipei,2015_27,3966301.993273204,1932.3499941780728
184,New Taipei,2015_28,3966417.4949548547,1932.4249956334977
185,New Taipei,2015_29,3966532.9999999995,1932.4999999999989
186,New Taipei,2015_30,3966770.4786721664,1932.5999922389706
187,New Taipei,2015_31,3967007.971562321,1932.6999896517823
188,New Taipei,2015_32,3967245.4786713147,1932.799992238703
189,New Taipei,2015_33,3967483.0,1932.8999999999999
190,New Taipei,2015_34,3967720.535549227,1933.0000129359412
191,New Taipei,2015_35,3967842.4511480206,1933.0749762389169
192,New Taipei,2015_36,3968201.9348620605,1933.2499683176
193,New Taipei,2015_37,3968561.451145069,1933.4249762374834
194,New Taipei,2015_38,3968920.999999999,1933.6000000000004
195,New Taipei,2015_39,3969154.4793968815,1933.724987880655
196,New Taipei,2015_40,3969387.9725286365,1933.8499838405253
197,New Taipei,2015_41,3969621.479396073,1933.9749878801326
198,New Taipei,2015_42,3969855.0,1934.1
199,New Taipei,2015_43,3970088.534341224,1934.225020200649
200,New Taipei,2015_44,3970052.2353005763,1934.19999224539
201,New Taipei,2015_45,3970249.480400444,1934.2999896603417
202,New Taipei,2015_46,3970446.7353000883,1934.3999922451223
203,New Taipei,2015_47,3970643.999999998,1934.499999999999
204,New Taipei,2015_48,3970795.491330044,1934.5749956388024
205,New Taipei,2015_49,3970946.988439912,1934.6499941849943
206,New Taipei,2015_50,3971098.4913298246,1934.7249956386895
207,New Taipei,2015_51,3971250.000000002,1934.7999999999995
208,New Taipei,2015_52,3971352.496031873,1934.849998061932
209,New Taipei,2016_01,3971454.9947091183,1934.8999974158871
210,New Taipei,2016_02,3971557.496031805,1934.9499980618987
211,New Taipei,2016_03,3971660.0000000014,1935.0000000000005
212,New Taipei,2016_04,3971762.5066137747,1935.0500032302248
213,New Taipei,2016_05,3971442.4821312893,1934.874987885771
214,New Taipei,2016_06,3971224.9761754875,1934.7499838480423
215,New Taipei,2016_07,3971007.482131942,1934.624987886293
216,New Taipei,2016_08,3970790.0000000005,1934.5000000000005
217,New Taipei,2016_09,3970842.498958835,1934.5249995153933
218,New Taipei,2016_10,3970894.998611774,1934.549999353855
219,New Taipei,2016_11,3970947.498958826,1934.5749995153892
220,New Taipei,2016_12,3971000.0,1934.6000000000004
221,New Taipei,2016_13,3971250.726252971,1934.7249878869184
222,New Taipei,2016_14,3971501.4683366287,1934.8499838488767
223,New Taipei,2016_15,3971752.226251971,1934.9749878863963
224,New Taipei,2016_16,3972002.9999999995,1935.099999999999
225,New Taipei,2016_17,3972253.789581712,1935.225020190207
226,New Taipei,2016_18,3972053.2490464556,1935.1249995155433
227,New Taipei,2016_19,3972103.4987286017,1935.1499993540551
228,New Taipei,2016_20,3972153.7490464477,1935.174999515539
229,New Taipei,2016_21,3972204.0,1935.1999999999998
230,New Taipei,2016_22,3972566.7003199495,1935.3749762671512
231,New Taipei,2016_23,3972929.433757916,1935.549968355248
232,New Taipei,2016_24,3973292.200316925,1935.724976265721
233,New Taipei,2016_25,3973654.999999999,1935.9000000000005
234,New Taipei,2016_26,3973810.7408437533,1935.9749956419562
235,New Taipei,2016_27,3973966.4877915117,1936.0499941892
236,New Taipei,2016_28,3974122.2408435144,1936.1249956418437
237,New Taipei,2016_29,3974278.0000000005,1936.2000000000007
238,New Taipei,2016_30,3974433.7652612096,1936.2750072637823
239,New Taipei,2016_31,3974436.240548949,1936.2999922537997
240,New Taipei,2016_32,3974594.4873984316,1936.3999896715552
241,New Taipei,2016_33,3974752.740548698,1936.4999922535328
242,New Taipei,2016_34,3974911.0,1936.5999999999992
243,New Taipei,2016_35,3975261.4536499134,1936.7499825756986
244,New Taipei,2016_36,3975611.9381980686,1936.8999767669982
245,New Taipei,2016_37,3975962.4536471893,1937.0499825747984
246,New Taipei,2016_38,3976313.0000000005,1937.1999999999994
247,New Taipei,2016_39,3976710.9402585956,1937.3999690349212
248,New Taipei,2016_40,3977108.9203421366,1937.5999587118076
249,New Taipei,2016_41,3977506.94025461,1937.7999690327904
250,New Taipei,2016_42,3977904.9999999995,1937.9999999999995
251,New Taipei,2016_43,3978303.099582293,1938.2000516155674
252,New Taipei,2016_44,3978230.7099942216,1938.1499825882838
253,New Taipei,2016_45,3978556.4466575067,1938.2999767837798
254,New Taipei,2016_46,3978882.209992039,1938.4499825873859
255,New Taipei,2016_47,3979208.0000000014,1938.6000000000001
256,New Taipei,2016_48,3979396.736571717,1938.6999922633886
257,New Taipei,2016_49,3979585.4820953403,1938.7999896843407
258,New Taipei,2016_50,3979774.2365712924,1938.8999922631228
259,New Taipei,2016_51,3979963.0,1939.0000000000002
260,New Taipei,2016_52,3980151.772381886,1939.1000128952394
261,New Taipei,2017_01,3980051.4970482728,1939.0499980661298
262,New Taipei,2017_02,3980139.996064335,1939.099997421484
263,New Taipei,2017_03,3980228.497048229,1939.1499980660965
264,New Taipei,2017_04,3980317.0,1939.1999999999998
265,New Taipei,2017_05,3980341.2497783895,1939.2
266,New Taipei,2017_06,3980365.4997045193,1939.2
267,New Taipei,2017_07,3980389.7497783895,1939.2
268,New Taipei,2017_08,3980414.000000002,1939.2
269,New Taipei,2017_09,3980527.2451670687,1939.2749956493717
270,New Taipei,2017_10,3980640.4935560306,1939.3499941990876
271,New Taipei,2017_11,3980753.745166976,1939.4249956492597
272,New Taipei,2017_12,3980866.9999999986,1939.5000000000005
273,New Taipei,2017_13,3981217.2037852365,1939.6499826017473
274,New Taipei,2017_14,3981567.438378508,1939.7999768017316
275,New Taipei,2017_15,3981917.703782526,1939.94998260085
276,New Taipei,2017_16,3982267.9999999995,1940.0999999999992
277,New Taipei,2017_17,3982618.32703364,1940.2500290000764
278,New Taipei,2017_18,3982309.4993512966,1940.1249995167918
279,New Taipei,2017_19,3982350.99913506,1940.14999935572
280,New Taipei,2017_20,3982392.499351293,1940.1749995167875
281,New Taipei,2017_21,3982434.000000002,1940.1999999999998
282,New Taipei,2017_22,3982838.1884624953,1940.3999690827889
283,New Taipei,2017_23,3983242.4179472183,1940.5999587756357
284,New Taipei,2017_24,3983646.6884583314,1940.7999690806641
285,New Taipei,2017_25,3984050.9999999995,1940.9999999999995
286,New Taipei,2017_26,3984218.239469328,1941.074995653406
287,New Taipei,2017_27,3984385.485958907,1941.1499942044666
288,New Taipei,2017_28,3984552.7394690323,1941.224995653294
289,New Taipei,2017_29,3984719.9999999986,1941.3000000000004
290,New Taipei,2017_30,3984887.267552101,1941.3750072446976
291,New Taipei,2017_31,3984783.7484701895,1941.3499980684207
292,New Taipei,2017_32,3984847.4979602424,1941.399997424539
293,New Taipei,2017_33,3984911.248470173,1941.449998068388
294,New Taipei,2017_34,3984975.0,1941.5000000000005
295,New Taipei,2017_35,3985155.737703647,1941.574995654525
296,New Taipei,2017_36,3985336.483604615,1941.6499942059588
297,New Taipei,2017_37,3985517.237703275,1941.7249956544129
298,New Taipei,2017_38,3985697.9999999995,1941.7999999999997
299,New Taipei,2017_39,3985878.770495159,1941.8750072428309
300,New Taipei,2017_40,3985846.24172937,1941.8749956551965
301,New Taipei,2017_41,3985994.488972356,1941.9499942068542
302,New Taipei,2017_42,3986142.7417291636,1942.0249956550847
303,New Taipei,2017_43,3986290.999999998,1942.1000000000004
304,New Taipei,2017_44,3986390.4962748555,1942.1499980692163
305,New Taipei,2017_45,3986489.9950330984,1942.1999974255998
306,New Taipei,2017_46,3986589.4962747926,1942.2499980691832
307,New Taipei,2017_47,3986688.9999999995,1942.3
308,New Taipei,2017_48,3986603.7472654283,1942.2499980691832
309,New Taipei,2017_49,3986518.4963539303,1942.1999974255998
310,New Taipei,2017_50,3986433.247265468,1942.1499980692163
311,New Taipei,2017_51,3986348.0000000005,1942.1
312,New Taipei,2017_52,3986262.7545574903,1942.0500032179173
313,New Taipei,2018_01,3986386.2494494845,1942.1249995172893
314,New Taipei,2018_02,3986424.499265977,1942.149999356383
315,New Taipei,2018_03,3986462.749449481,1942.174999517285
316,New Taipei,2018_04,3986500.999999999,1942.1999999999994
317,New Taipei,2018_05,3986471.2496669716,1942.1749995172856
318,New Taipei,2018_06,3986441.499555963,1942.1499993563834
319,New Taipei,2018_07,3986411.7496669735,1942.1249995172898
320,New Taipei,2018_08,3986381.9999999995,1942.1000000000001
321,New Taipei,2018_09,3986265.244870727,1942.0499980689845
322,New Taipei,2018_10,3986148.4931610357,1941.9999974253346
323,New Taipei,2018_11,3986031.7448708266,1941.9499980690175
324,New Taipei,2018_12,3985914.999999999,1941.8999999999999
325,New Taipei,2018_13,3985798.258548453,1941.8500032182487
326,New Taipei,2018_14,3986163.976670866,1942.0249879324474
327,New Taipei,2018_15,3986412.9688938404,1942.149983909585
328,New Taipei,2018_16,3986661.9766698945,1942.2749879319294
329,New Taipei,2018_17,3986911.000000001,1942.3999999999999
330,New Taipei,2018_18,3987063.2412797157,1942.4749956565383
331,New Taipei,2018_19,3987215.488372806,1942.549994208643
332,New Taipei,2018_20,3987367.741279493,1942.624995656426
333,New Taipei,2018_21,3987519.999999998,1942.6999999999991
334,New Taipei,2018_22,3987866.4548448985,1942.874976358755
335,New Taipei,2018_23,3988212.939791454,1943.0499684773936
336,New Taipei,2018_24,3988559.454842282,1943.2249763573354
337,New Taipei,2018_25,3988905.9999999986,1943.3999999999999
338,New Taipei,2018_26,3989252.575267219,1943.575039406807
339,New Taipei,2018_27,3989232.2099819775,1943.5499826366558
340,New Taipei,2018_28,3989558.446641182,1943.6999768482788
341,New Taipei,2018_29,3989884.7099797954,1943.8499826357624
342,New Taipei,2018_30,3990211.0000000005,1944.0
343,New Taipei,2018_31,3990510.9661731366,1944.1499826420138
344,New Taipei,2018_32,3990810.9548963853,1944.299976855423
345,New Taipei,2018_33,3991110.966171442,1944.4499826411204
346,New Taipei,2018_34,3991411.0,1944.5999999999997
347,New Taipei,2018_35,3991630.9818132822,1944.6999922872567
348,New Taipei,2018_36,3991850.975750597,1944.7999897161662
349,New Taipei,2018_37,3992070.981812614,1944.8999922869925
350,New Taipei,2018_38,3992291.0000000005,1945.0
351,New Taipei,2018_39,3992511.030313423,1945.100012855453
352,New Taipei,2018_40,3992686.1913169716,1945.1999691590704
353,New Taipei,2018_41,3993081.4217533804,1945.399958877351
354,New Taipei,2018_42,3993476.6913130996,1945.5999691569566
355,New Taipei,2018_43,3993872.0000000005,1945.8
356,New Taipei,2018_44,3994333.1701172763,1946.024960984162
357,New Taipei,2018_45,3994794.393485603,1946.249947976878
358,New Taipei,2018_46,3995255.6701111277,1946.4749609811547
359,New Taipei,2018_47,3995717.0000000005,1946.6999999999998
360,New Taipei,2018_48,3996084.9491724875,1946.8749764073218
361,New Taipei,2018_49,3996452.9322279035,1947.0499685421535
362,New Taipei,2018_50,3996820.949169368,1947.2249764059081
363,New Taipei,2018_51,3997189.000000001,1947.4
364,New Taipei,2018_52,3997557.084722925,1947.5750393258434
365,New Taipei,2019_01,3997481.2179541695,1947.5499826723144
366,New Taipei,2019_02,3997773.4572711843,1947.6999768958262
367,New Taipei,2019_03,3998065.7179526077,1947.849982671425
368,New Taipei,2019_04,3998357.9999999995,1948.0000000000007
369,New Taipei,2019_05,3998489.2435378814,1948.049998075064
370,New Taipei,2019_06,3998620.4913837477,1948.0999974333965
371,New Taipei,2019_07,3998751.743537741,1948.1499980750314
372,New Taipei,2019_08,3998883.000000001,1948.2
373,New Taipei,2019_09,3999203.2115364205,1948.3749764254828
374,New Taipei,2019_10,3999523.448713858,1948.5499685663694
375,New Taipei,2019_11,3999843.7115343665,1948.7249764240712
376,New Taipei,2019_12,4000163.9999999986,1948.8999999999992
377,New Taipei,2019_13,4000484.3141128086,1949.0750392955663
378,New Taipei,2019_14,4000947.020059267,1949.2748918144364
379,New Taipei,2019_15,4001730.1933923536,1949.6498557433333
380,New Taipei,2019_16,4002513.5200292612,1950.0248918005632
381,New Taipei,2019_17,4003297.0000000005,1950.3999999999999
382,New Taipei,2019_18,4002905.19248374,1950.2124729562106
383,New Taipei,2019_19,4002513.423314155,1950.02496394277
384,New Taipei,2019_20,4002121.6924874927,1949.8374729579443
385,New Taipei,2019_21,4001730.0,1949.6500000000003
386,New Taipei,2019_22,4001338.3458479242,1949.462545067205
387,Taipei,2012_01,2653206.2154427725,9761.599875547998
388,Taipei,2012_02,2653453.4539222657,9762.499834058897
389,Taipei,2012_03,2653700.715440626,9763.399875540345
390,Taipei,2012_04,2653948.0,9764.299999999996
391,Taipei,2012_05,2654588.767902613,9766.67413397389
392,Taipei,2012_06,2655229.6905119144,9769.048845204941
393,Taipei,2012_07,2655870.767865256,9771.424133833516
394,Taipei,2012_08,2656511.9999999986,9773.800000000001
395,Taipei,2012_09,2657055.0834395885,9775.799386406841
396,Taipei,2012_10,2657598.277904319,9777.799181820006
397,Taipei,2012_11,2658141.5834168894,9779.799386323164
398,Taipei,2012_12,2658685.000000001,9781.800000000001
399,Taipei,2012_13,2659228.527676361,9783.801022934218
400,Taipei,2012_14,2659267.808336528,9783.924307897714
401,Taipei,2012_15,2659850.7444300326,9786.049077130157
402,Taipei,2012_16,2660433.8083085194,9788.174307797517
403,Taipei,2012_17,2661017.0,9790.300000000003
404,Taipei,2012_18,2661578.3223646586,9792.374340648865
405,Taipei,2012_19,2662139.7631362253,9794.449120803069
406,Taipei,2012_20,2662701.3223396786,9796.524340555734
407,Taipei,2012_21,2663263.0,9798.6
408,Taipei,2012_22,2663568.947276571,9799.724806306098
409,Taipei,2012_23,2663874.929699403,9800.849741731581
410,Taipei,2012_24,2664180.9472725326,9801.974806291277
411,Taipei,2012_25,2664486.999999999,9803.100000000002
412,Taipei,2012_26,2664793.0878858403,9804.225322872586
413,Taipei,2012_27,2664765.7062677913,9804.124839280114
414,Taipei,2012_28,2665044.4416883555,9805.14978569935
415,Taipei,2012_29,2665323.2062647413,9806.174839268913
416,Taipei,2012_30,2665601.999999999,9807.200000000003
417,Taipei,2012_31,2665659.4981395854,9807.42499225738
418,Taipei,2012_32,2665716.9975194293,9807.649989676427
419,Taipei,2012_33,2665774.4981395593,9807.874992257262
420,Taipei,2012_34,2665832.0000000014,9808.100000000002
421,Taipei,2012_35,2666431.5477115456,9810.299260182643
422,Taipei,2012_36,2667031.2302618427,9812.499013503137
423,Taipei,2012_37,2667631.0476812166,9814.699260072057
424,Taipei,2012_38,2668230.999999999,9816.900000000003
425,Taipei,2012_39,2668831.08724853,9819.101233397601
426,Taipei,2012_40,2668924.4795976523,9819.449007034553
427,Taipei,2012_41,2669618.139432305,9821.998675931494
428,Taipei,2012_42,2670311.9795508026,9824.549006862675
429,Taipei,2012_43,2671006.000000001,9827.100000000002
430,Taipei,2012_44,2671560.827101243,9829.149358846107
431,Taipei,2012_45,2672115.7694523633,9831.199145068722
432,Taipei,2012_46,2672670.8270773003,9833.24935875697
433,Taipei,2012_47,2673225.9999999986,9835.299999999996
434,Taipei,2012_48,2673677.6355328937,9836.94958494889
435,Taipei,2012_49,2674129.347368597,9838.599446567585
436,Taipei,2012_50,2674581.135520001,9840.249584902482
437,Taipei,2012_51,2675032.999999999,9841.899999999998
438,Taipei,2012_52,2675484.940821487,9843.550691906546
439,Taipei,2013_01,2675306.7079886454,9842.899847626528
440,Taipei,2013_02,2675580.4439829504,9843.899796828491
441,Taipei,2013_03,2675854.2079857797,9844.899847616209
442,Taipei,2013_04,2676128.0,9845.900000000001
443,Taipei,2013_05,2676538.655466873,9847.424645824425
444,Taipei,2013_06,2676949.373949384,9848.949527741526
445,Taipei,2013_07,2677360.155457202,9850.474645787863
446,Taipei,2013_08,2677770.999999999,9852.000000000004
447,Taipei,2013_09,2678090.942654848,9853.174789853698
448,Taipei,2013_10,2678410.9235367524,9854.349719793796
449,Taipei,2013_11,2678730.942650281,9855.524789836994
450,Taipei,2013_12,2679051.0000000005,9856.700000000004
451,Taipei,2013_13,2679371.09559048,9857.875350299531
452,Taipei,2013_14,2679362.1957735354,9857.84979879573
453,Taipei,2013_15,2679673.4276952483,9858.999731717211
454,Taipei,2013_16,2679984.6957693365,9860.149798780083
455,Taipei,2013_17,2680296.0,9861.300000000001
456,Taipei,2013_18,2680610.4446610496,9862.44979888956
457,Taipei,2013_19,2680924.9262118475,9863.599731842325
458,Taipei,2013_20,2681239.4446567213,9864.749798873929
459,Taipei,2013_21,2681553.9999999995,9865.900000000001
460,Taipei,2013_22,2681758.47661087,9866.649914493317
461,Taipei,2013_23,2681962.968813701,9867.3998859882
462,Taipei,2013_24,2682167.4766096817,9868.149914488984
463,Taipei,2013_25,2682372.0000000005,9868.899999999996
464,Taipei,2013_26,2682576.5389858475,9869.650142525576
465,Taipei,2013_27,2682283.2455950347,9868.574983944545
466,Taipei,2013_28,2682194.4941267776,9868.249978592961
467,Taipei,2013_29,2682105.745595132,9867.924983944897
468,Taipei,2013_30,2682017.0,9867.6
469,Taipei,2013_31,2681908.743445698,9867.199975675676
