County,Year-Month,Population,Pop Indensity
Taipei,201106,2635766,9697.4
Taipei,201107,2637866,9705.2
Taipei,201108,2639064,9709.6
Taipei,201109,2640099,9713.4
Taipei,201110,2643136,9724.6
Taipei,201111,2647122,9739.2
Taipei,201112,2650968,9753.4
Taipei,201201,2652959,9760.7
Taipei,201202,2653948,9764.3
Taipei,201203,2656512,9773.8
Taipei,201204,2658685,9781.8
Taipei,201205,2661017,9790.3
Taipei,201206,2663263,9798.6
Taipei,201207,2664487,9803.1
Taipei,201208,2665602,9807.2
Taipei,201209,2665832,9808.1
Taipei,201210,2668231,9816.9
Taipei,201211,2671006,9827.1
Taipei,201212,2673226,9835.3
Taipei,201301,2675033,9841.9
Taipei,201302,2676128,9845.9
Taipei,201303,2677771,9852.0
Taipei,201304,2679051,9856.7
Taipei,201305,2680296,9861.3
Taipei,201306,2681554,9865.9
Taipei,201307,2682372,9868.9
Taipei,201308,2682017,9867.6
Taipei,201309,2681584,9866.0
Taipei,201310,2682839,9870.6
Taipei,201311,2684567,9877.0
Taipei,201312,2686516,9884.2
Taipei,201401,2688140,9890.1
Taipei,201402,2689327,9894.5
Taipei,201403,2690232,9897.8
Taipei,201404,2691331,9901.9
Taipei,201405,2692138,9904.8
Taipei,201406,2693672,9910.5
Taipei,201407,2695027,9915.5
Taipei,201408,2695007,9915.4
Taipei,201409,2695649,9917.8
Taipei,201410,2697644,9925.1
Taipei,201411,2700091,9934.1
Taipei,201412,2702315,9942.3
Taipei,201501,2704133,9949.0
Taipei,201502,2705113,9952.6
Taipei,201503,2705958,9955.7
Taipei,201504,2705949,9955.7
Taipei,201505,2705921,9955.6
Taipei,201506,2706030,9956.0
Taipei,201507,2703444,9946.4
Taipei,201508,2701571,9939.6
Taipei,201509,2700115,9934.2
Taipei,201510,2701514,9939.3
Taipei,201511,2702809,9944.1
Taipei,201512,2704810,9951.5
Taipei,201601,2704974,9952.1
Taipei,201602,2704410,9950.0
Taipei,201603,2704495,9950.3
Taipei,201604,2703829,9947.9
Taipei,201605,2702930,9944.6
Taipei,201606,2702925,9944.5
Taipei,201607,2701645,9939.8
Taipei,201608,2698591,9928.6
Taipei,201609,2696316,9920.2
Taipei,201610,2696319,9920.2
Taipei,201611,2695652,9917.8
Taipei,201612,2695704,9918.0
Taipei,201701,2695371,9916.7
Taipei,201702,2694195,9912.4
Taipei,201703,2693313,9909.2
Taipei,201704,2692118,9904.8
Taipei,201705,2690813,9900.0
Taipei,201706,2689845,9896.4
Taipei,201707,2687629,9888.3
Taipei,201708,2685202,9879.3
Taipei,201709,2682893,9870.8
Taipei,201710,2683202,9872.0
Taipei,201711,2683321,9872.4
Taipei,201712,2683257,9872.2
Taipei,201801,2682721,9870.2
Taipei,201802,2681375,9865.3
Taipei,201803,2680218,9861.0
Taipei,201804,2678695,9855.4
Taipei,201805,2676767,9848.3
Taipei,201806,2675713,9844.4
Taipei,201807,2674063,9838.3
Taipei,201808,2672092,9831.1
Taipei,201809,2669639,9822.1
Taipei,201810,2669874,9822.9
Taipei,201811,2669634,9822.1
Taipei,201812,2668572,9818.1
Taipei,201901,2666908,9812.0
Taipei,201902,2664983,9804.9
Taipei,201903,2663425,9799.2
Taipei,201904,2661317,9791.5
Taipei,201905,2658615,9781.5
Taoyuan,201001,1980038,1621.7
Taoyuan,201002,1981364,1622.8
Taoyuan,201003,1982961,1624.1
Taoyuan,201004,1985209,1626.0
Taoyuan,201005,1990917,1630.6
Taoyuan,201006,2017047,1652.0
Taoyuan,201007,2006213,1643.2
Taoyuan,201008,2003205,1640.7
Taoyuan,201009,2002318,1640.0
Taoyuan,201010,2001537,1639.3
Taoyuan,201011,2001455,1639.3
Taoyuan,201012,2002060,1639.8
Taoyuan,201101,2002424,1640.1
Taoyuan,201102,2002480,1640.1
Taoyuan,201103,2002925,1640.5
Taoyuan,201104,2003618,1641.0
Taoyuan,201105,2004407,1641.7
Taoyuan,201106,2005795,1642.8
Taoyuan,201107,2007536,1644.2
Taoyuan,201108,2008845,1645.3
Taoyuan,201109,2010168,1646.4
Taoyuan,201110,2010987,1647.1
Taoyuan,201111,2012174,1648.0
Taoyuan,201112,2013305,1649.0
Taoyuan,201201,2014216,1649.7
Taoyuan,201202,2015012,1650.4
Taoyuan,201203,2015933,1651.1
Taoyuan,201204,2017262,1652.2
Taoyuan,201205,2018663,1653.4
Taoyuan,201206,2020103,1654.5
Taoyuan,201207,2021677,1655.8
Taoyuan,201208,2024100,1657.8
Taoyuan,201209,2025716,1659.1
Taoyuan,201210,2027097,1660.3
Taoyuan,201211,2028628,1661.5
Taoyuan,201212,2030161,1662.8
Taoyuan,201301,2031837,1664.1
Taoyuan,201302,2032848,1665.0
Taoyuan,201303,2033634,1665.6
Taoyuan,201304,2034381,1666.2
Taoyuan,201305,2035552,1667.2
Taoyuan,201306,2036708,1668.1
Taoyuan,201307,2038147,1669.3
Taoyuan,201308,2039557,1670.5
Taoyuan,201309,2040629,1671.3
Taoyuan,201310,2041544,1672.1
Taoyuan,201311,2042668,1673.0
Taoyuan,201312,2044023,1674.1
Taoyuan,201401,2044857,1674.8
Taoyuan,201402,2045309,1675.2
Taoyuan,201403,2045811,1675.6
Taoyuan,201404,2046547,1676.2
Taoyuan,201405,2047834,1677.2
Taoyuan,201406,2049009,1678.2
Taoyuan,201407,2050600,1679.5
Taoyuan,201408,2052529,1681.1
Taoyuan,201409,2054260,1682.5
Taoyuan,201410,2055259,1683.3
Taoyuan,201411,2056273,1684.2
Taoyuan,201412,2058328,1685.8
Taoyuan,201501,2061501,1688.4
Taoyuan,201502,2065966,1692.1
Taoyuan,201503,2072736,1697.6
Taoyuan,201504,2077929,1701.9
Taoyuan,201505,2082165,1705.4
Taoyuan,201506,2086081,1708.6
Taoyuan,201507,2089553,1711.4
Taoyuan,201508,2092977,1714.2
Taoyuan,201509,2096432,1717.0
Taoyuan,201510,2099583,1719.6
Taoyuan,201511,2102513,1722.0
Taoyuan,201512,2105780,1724.7
Taoyuan,201601,2108786,1727.2
Taoyuan,201602,2111148,1729.1
Taoyuan,201603,2114172,1731.6
Taoyuan,201604,2116988,1733.9
Taoyuan,201605,2120838,1737.0
Taoyuan,201606,2124339,1739.9
Taoyuan,201607,2128594,1743.4
Taoyuan,201608,2132854,1746.9
Taoyuan,201609,2136702,1750.0
Taoyuan,201610,2140392,1753.1
Taoyuan,201611,2144044,1756.0
Taoyuan,201612,2147763,1759.1
Taoyuan,201701,2150685,1761.5
Taoyuan,201702,2153521,1763.8
Taoyuan,201703,2156999,1766.7
Taoyuan,201704,2160035,1769.1
Taoyuan,201705,2163728,1772.2
Taoyuan,201706,2167616,1775.4
Taoyuan,201707,2171127,1778.2
Taoyuan,201708,2174895,1781.3
Taoyuan,201709,2178458,1784.2
Taoyuan,201710,2181470,1786.7
Taoyuan,201711,2184655,1789.3
Taoyuan,201712,2188017,1792.1
Taoyuan,201801,2191034,1794.5
Taoyuan,201802,2193098,1796.2
Taoyuan,201803,2196349,1798.9
Taoyuan,201804,2198830,1800.9
Taoyuan,201805,2202034,1803.5
Taoyuan,201806,2204824,1805.8
Taoyuan,201807,2208035,1808.5
Taoyuan,201808,2211127,1811.0
Taoyuan,201809,2213379,1812.8
Taoyuan,201810,2215615,1814.7
Taoyuan,201811,2217776,1816.4
Taoyuan,201812,2220872,1819.0
Taoyuan,201901,2223733,1821.3
Taoyuan,201902,2225621,1822.9
Taoyuan,201903,2228118,1824.9
Taoyuan,201904,2230653,1827.0
Taoyuan,201905,2232623,1828.6
Taichung,201001,2636474,1190.8
Taichung,201002,2637232,1191.2
Taichung,201003,2638818,1191.9
Taichung,201004,2639962,1192.4
Taichung,201005,2640563,1192.7
Taichung,201006,2639905,1192.4
Taichung,201007,2642677,1193.6
Taichung,201008,2644270,1194.3
Taichung,201009,2645194,1194.8
Taichung,201010,2646481,1195.3
Taichung,201011,2647662,1195.9
Taichung,201012,2648419,1196.2
Taichung,201101,2649311,1196.6
Taichung,201102,2649892,1196.9
Taichung,201103,2651152,1197.4
Taichung,201104,2652435,1198.0
Taichung,201105,2653698,1198.6
Taichung,201106,2655456,1199.4
Taichung,201107,2657253,1200.2
Taichung,201108,2658735,1200.9
Taichung,201109,2659828,1201.4
Taichung,201110,2661290,1202.0
Taichung,201111,2662770,1202.7
Taichung,201112,2664394,1203.4
Taichung,201201,2665613,1204.0
Taichung,201202,2666925,1204.6
Taichung,201203,2668799,1205.4
Taichung,201204,2670395,1206.1
Taichung,201205,2672390,1207.0
Taichung,201206,2674359,1207.9
Taichung,201207,2675939,1208.6
Taichung,201208,2677876,1209.5
Taichung,201209,2679172,1210.1
Taichung,201210,2681041,1210.9
Taichung,201211,2683066,1211.9
Taichung,201212,2684893,1212.7
Taichung,201301,2687052,1213.7
Taichung,201302,2688216,1214.2
Taichung,201303,2689659,1214.8
Taichung,201304,2690837,1215.4
Taichung,201305,2692563,1216.2
Taichung,201306,2693892,1216.8
Taichung,201307,2695353,1217.4
Taichung,201308,2696712,1218.0
Taichung,201309,2697665,1218.5
Taichung,201310,2698811,1219.0
Taichung,201311,2700300,1219.6
Taichung,201312,2701661,1220.3
Taichung,201401,2702920,1220.8
Taichung,201402,2704070,1221.4
Taichung,201403,2705064,1221.8
Taichung,201404,2706209,1222.3
Taichung,201405,2707123,1222.7
Taichung,201406,2708338,1223.3
Taichung,201407,2709764,1223.9
Taichung,201408,2711252,1224.6
Taichung,201409,2712948,1225.4
Taichung,201410,2714642,1226.1
Taichung,201411,2716497,1227.0
Taichung,201412,2719835,1228.5
Taichung,201501,2721709,1229.3
Taichung,201502,2723479,1230.1
Taichung,201503,2725497,1231.0
Taichung,201504,2727460,1231.9
Taichung,201505,2729291,1232.7
Taichung,201506,2731500,1233.7
Taichung,201507,2733761,1234.8
Taichung,201508,2736813,1236.1
Taichung,201509,2738553,1236.9
Taichung,201510,2740634,1237.9
Taichung,201511,2742503,1238.7
Taichung,201512,2744445,1239.6
Taichung,201601,2746112,1240.3
Taichung,201602,2747561,1241.0
Taichung,201603,2748799,1241.6
Taichung,201604,2750322,1242.2
Taichung,201605,2752413,1243.2
Taichung,201606,2754191,1244.0
Taichung,201607,2756256,1244.9
Taichung,201608,2758136,1245.8
Taichung,201609,2759887,1246.6
Taichung,201610,2762699,1247.8
Taichung,201611,2764958,1248.9
Taichung,201612,2767239,1249.9
Taichung,201701,2769005,1250.7
Taichung,201702,2770356,1251.3
Taichung,201703,2772118,1252.1
Taichung,201704,2773527,1252.7
Taichung,201705,2775294,1253.5
Taichung,201706,2776579,1254.1
Taichung,201707,2778182,1254.8
Taichung,201708,2780155,1255.7
Taichung,201709,2781498,1256.3
Taichung,201710,2783298,1257.1
Taichung,201711,2785159,1258.0
Taichung,201712,2787070,1258.8
Taichung,201801,2788828,1259.6
Taichung,201802,2790381,1260.3
Taichung,201803,2792164,1261.1
Taichung,201804,2793005,1261.5
Taichung,201805,2793980,1262.0
Taichung,201806,2794933,1262.4
Taichung,201807,2796081,1262.9
Taichung,201808,2797223,1263.4
Taichung,201809,2797874,1263.7
Taichung,201810,2799254,1264.3
Taichung,201811,2801238,1265.2
Taichung,201812,2803894,1266.4
Taichung,201901,2806406,1267.6
Taichung,201902,2807325,1268.0
Taichung,201903,2808219,1268.4
Taichung,201904,2809004,1268.7
Taichung,201905,2809545,1269.0
Tainan,201001,1875244,855.5
Tainan,201002,1875065,855.4
Tainan,201003,1875165,855.5
Tainan,201004,1875140,855.4
Tainan,201005,1874794,855.3
Tainan,201006,1873571,854.7
Tainan,201007,1874023,854.9
Tainan,201008,1874033,854.9
Tainan,201009,1873754,854.8
Tainan,201010,1873819,854.8
Tainan,201011,1873919,854.9
Tainan,201012,1873794,854.8
Tainan,201101,1873406,854.7
Tainan,201102,1873176,854.6
Tainan,201103,1872933,854.4
Tainan,201104,1873193,854.6
Tainan,201105,1873368,854.6
Tainan,201106,1874724,855.3
Tainan,201107,1875491,855.6
Tainan,201108,1875637,855.7
Tainan,201109,1876031,855.9
Tainan,201110,1876312,856.0
Tainan,201111,1876706,856.2
Tainan,201112,1876960,856.3
Tainan,201201,1877115,856.3
Tainan,201202,1877397,856.5
Tainan,201203,1877778,856.7
Tainan,201204,1878077,856.8
Tainan,201205,1878314,856.9
Tainan,201206,1878795,857.1
Tainan,201207,1879022,857.2
Tainan,201208,1879506,857.4
Tainan,201209,1879644,857.5
Tainan,201210,1880360,857.8
Tainan,201211,1881026,858.1
Tainan,201212,1881645,858.4
Tainan,201301,1881905,858.5
Tainan,201302,1882118,858.6
Tainan,201303,1882369,858.7
Tainan,201304,1882475,858.8
Tainan,201305,1882352,858.7
Tainan,201306,1882526,858.8
Tainan,201307,1882620,858.9
Tainan,201308,1882774,858.9
Tainan,201309,1882803,858.9
Tainan,201310,1882777,858.9
Tainan,201311,1883114,859.1
Tainan,201312,1883208,859.1
Tainan,201401,1883251,859.1
Tainan,201402,1883033,859.0
Tainan,201403,1883077,859.1
Tainan,201404,1883102,859.1
Tainan,201405,1882865,859.0
Tainan,201406,1883042,859.1
Tainan,201407,1882946,859.0
Tainan,201408,1883451,859.2
Tainan,201409,1883493,859.3
Tainan,201410,1883562,859.3
Tainan,201411,1883844,859.4
Tainan,201412,1884284,859.6
Tainan,201501,1884641,859.8
Tainan,201502,1884863,859.9
Tainan,201503,1885106,860.0
Tainan,201504,1885287,860.1
Tainan,201505,1885240,860.1
Tainan,201506,1885376,860.1
Tainan,201507,1885077,860.0
Tainan,201508,1885079,860.0
Tainan,201509,1885037,860.0
Tainan,201510,1885175,860.0
Tainan,201511,1885390,860.1
Tainan,201512,1885541,860.2
Tainan,201601,1885550,860.2
Tainan,201602,1885453,860.2
Tainan,201603,1885157,860.0
Tainan,201604,1885252,860.1
Tainan,201605,1885199,860.0
Tainan,201606,1885388,860.1
Tainan,201607,1885629,860.2
Tainan,201608,1885601,860.2
Tainan,201609,1885499,860.2
Tainan,201610,1885603,860.2
Tainan,201611,1885653,860.2
Tainan,201612,1886033,860.4
Tainan,201701,1886075,860.4
Tainan,201702,1886160,860.5
Tainan,201703,1886368,860.6
Tainan,201704,1886636,860.7
Tainan,201705,1886473,860.6
Tainan,201706,1886502,860.6
Tainan,201707,1886267,860.5
Tainan,201708,1886145,860.5
Tainan,201709,1886088,860.4
Tainan,201710,1886387,860.6
Tainan,201711,1886465,860.6
Tainan,201712,1886522,860.6
Tainan,201801,1886251,860.5
Tainan,201802,1886074,860.4
Tainan,201803,1885882,860.3
Tainan,201804,1885478,860.2
Tainan,201805,1884935,859.9
Tainan,201806,1884717,859.8
Tainan,201807,1884596,859.8
Tainan,201808,1884327,859.6
Tainan,201809,1884036,859.5
Tainan,201810,1883804,859.4
Tainan,201811,1883760,859.4
Tainan,201812,1883831,859.4
Tainan,201901,1883723,859.4
Tainan,201902,1883448,859.2
Tainan,201903,1883356,859.2
Tainan,201904,1883078,859.1
Tainan,201905,1882624,858.9
Kaohsiung,201001,2770989,992.2
Kaohsiung,201002,2771095,992.3
Kaohsiung,201003,2771291,992.3
Kaohsiung,201004,2771480,992.4
Kaohsiung,201005,2771665,992.5
Kaohsiung,201006,2770682,992.1
Kaohsiung,201007,2772349,992.7
Kaohsiung,201008,2772868,992.9
Kaohsiung,201009,2772777,992.9
Kaohsiung,201010,2772992,993.0
Kaohsiung,201011,2773592,993.2
Kaohsiung,201012,2773483,993.1
Kaohsiung,201101,2773433,993.1
Kaohsiung,201102,2772929,992.9
Kaohsiung,201103,2772834,992.9
Kaohsiung,201104,2772981,992.9
Kaohsiung,201105,2772850,992.9
Kaohsiung,201106,2772461,992.8
Kaohsiung,201107,2772647,992.8
Kaohsiung,201108,2772838,992.9
Kaohsiung,201109,2773157,993.0
Kaohsiung,201110,2773526,993.1
Kaohsiung,201111,2773855,993.3
Kaohsiung,201112,2774470,993.5
Kaohsiung,201201,2774925,993.6
Kaohsiung,201202,2774831,993.6
Kaohsiung,201203,2774586,993.5
Kaohsiung,201204,2774649,993.5
Kaohsiung,201205,2774730,993.6
Kaohsiung,201206,2775482,993.8
Kaohsiung,201207,2775734,993.9
Kaohsiung,201208,2776204,994.1
Kaohsiung,201209,2776550,994.2
Kaohsiung,201210,2777128,994.4
Kaohsiung,201211,2777897,994.7
Kaohsiung,201212,2778659,995.0
Kaohsiung,201301,2778798,995.0
Kaohsiung,201302,2779096,995.1
Kaohsiung,201303,2778936,995.1
Kaohsiung,201304,2778793,995.0
Kaohsiung,201305,2778920,995.1
Kaohsiung,201306,2779092,995.1
Kaohsiung,201307,2779416,995.3
Kaohsiung,201308,2779448,995.3
Kaohsiung,201309,2779246,995.2
Kaohsiung,201310,2779427,995.3
Kaohsiung,201311,2779563,995.3
Kaohsiung,201312,2779877,995.4
Kaohsiung,201401,2779790,995.4
Kaohsiung,201402,2779653,995.3
Kaohsiung,201403,2778669,995.0
Kaohsiung,201404,2778132,994.8
Kaohsiung,201405,2777415,994.5
Kaohsiung,201406,2777296,994.5
Kaohsiung,201407,2777240,994.5
Kaohsiung,201408,2777318,994.5
Kaohsiung,201409,2777461,994.6
Kaohsiung,201410,2777773,994.7
Kaohsiung,201411,2778155,994.8
Kaohsiung,201412,2778992,995.1
Kaohsiung,201501,2779355,995.2
Kaohsiung,201502,2779527,995.3
Kaohsiung,201503,2779136,995.2
Kaohsiung,201504,2778914,995.1
Kaohsiung,201505,2778793,995.0
Kaohsiung,201506,2778835,995.0
Kaohsiung,201507,2778276,994.8
Kaohsiung,201508,2777948,994.7
Kaohsiung,201509,2777870,994.7
Kaohsiung,201510,2778249,994.8
Kaohsiung,201511,2778512,994.9
Kaohsiung,201512,2778918,995.1
Kaohsiung,201601,2778729,995.0
Kaohsiung,201602,2778574,995.0
Kaohsiung,201603,2778240,994.8
Kaohsiung,201604,2778107,994.8
Kaohsiung,201605,2777784,994.7
Kaohsiung,201606,2778092,994.8
Kaohsiung,201607,2778285,994.8
Kaohsiung,201608,2778318,994.9
Kaohsiung,201609,2778332,994.9
Kaohsiung,201610,2778375,994.9
Kaohsiung,201611,2778770,995.0
Kaohsiung,201612,2779371,995.2
Kaohsiung,201701,2779332,995.2
Kaohsiung,201702,2779052,995.1
Kaohsiung,201703,2778726,995.0
Kaohsiung,201704,2778734,995.0
Kaohsiung,201705,2778415,994.9
Kaohsiung,201706,2778023,994.8
Kaohsiung,201707,2777873,994.7
Kaohsiung,201708,2777564,994.6
Kaohsiung,201709,2777021,994.4
Kaohsiung,201710,2776791,994.3
Kaohsiung,201711,2776846,994.3
Kaohsiung,201712,2776912,994.4
Kaohsiung,201801,2776786,994.3
Kaohsiung,201802,2776366,994.2
Kaohsiung,201803,2775935,994.0
Kaohsiung,201804,2775318,993.8
Kaohsiung,201805,2774323,993.4
Kaohsiung,201806,2773932,993.3
Kaohsiung,201807,2773506,993.1
Kaohsiung,201808,2773093,993.0
Kaohsiung,201809,2772820,992.9
Kaohsiung,201810,2772624,992.8
Kaohsiung,201811,2773001,993.0
Kaohsiung,201812,2773533,993.1
Kaohsiung,201901,2773607,993.2
Kaohsiung,201902,2773596,993.2
Kaohsiung,201903,2773271,993.1
Kaohsiung,201904,2773229,993.0
Kaohsiung,201905,2773026,993.0
Yilan,201001,461876,215.5
Yilan,201002,461901,215.5
Yilan,201003,461783,215.4
Yilan,201004,461592,215.3
Yilan,201005,461409,215.2
Yilan,201006,460604,214.9
Yilan,201007,460676,214.9
Yilan,201008,460719,214.9
Yilan,201009,460679,214.9
Yilan,201010,460570,214.9
Yilan,201011,460558,214.9
Yilan,201012,460486,214.8
Yilan,201101,460368,214.8
Yilan,201102,460220,214.7
Yilan,201103,460036,214.6
Yilan,201104,459746,214.5
Yilan,201105,459505,214.4
Yilan,201106,459349,214.3
Yilan,201107,459358,214.3
Yilan,201108,459347,214.3
Yilan,201109,459332,214.3
Yilan,201110,459296,214.3
Yilan,201111,459227,214.2
Yilan,201112,459061,214.2
Yilan,201201,459018,214.1
Yilan,201202,458792,214.0
Yilan,201203,458611,213.9
Yilan,201204,458479,213.9
Yilan,201205,458511,213.9
Yilan,201206,458616,213.9
Yilan,201207,458514,213.9
Yilan,201208,458550,213.9
Yilan,201209,458432,213.9
Yilan,201210,458438,213.9
Yilan,201211,458548,213.9
Yilan,201212,458595,213.9
Yilan,201301,458599,213.9
Yilan,201302,458599,213.9
Yilan,201303,458599,213.9
Yilan,201304,458552,213.9
Yilan,201305,458582,213.9
Yilan,201306,458602,213.9
Yilan,201307,458636,214.0
Yilan,201308,458648,214.0
Yilan,201309,458580,213.9
Yilan,201310,458558,213.9
Yilan,201311,458514,213.9
Yilan,201312,458456,213.9
Yilan,201401,458378,213.8
Yilan,201402,458312,213.8
Yilan,201403,458427,213.9
Yilan,201404,458550,213.9
Yilan,201405,458568,213.9
Yilan,201406,458771,214.0
Yilan,201407,458786,214.0
Yilan,201408,458877,214.1
Yilan,201409,458784,214.0
Yilan,201410,458799,214.0
Yilan,201411,458880,214.1
Yilan,201412,458777,214.0
Yilan,201501,458691,214.0
Yilan,201502,458490,213.9
Yilan,201503,458370,213.8
Yilan,201504,458273,213.8
Yilan,201505,458250,213.8
Yilan,201506,458313,213.8
Yilan,201507,458299,213.8
Yilan,201508,458375,213.8
Yilan,201509,458261,213.8
Yilan,201510,458078,213.7
Yilan,201511,458070,213.7
Yilan,201512,458117,213.7
Yilan,201601,458037,213.7
Yilan,201602,457995,213.7
Yilan,201603,457854,213.6
Yilan,201604,457815,213.6
Yilan,201605,457811,213.6
Yilan,201606,457808,213.6
Yilan,201607,457746,213.5
Yilan,201608,457788,213.6
Yilan,201609,457671,213.5
Yilan,201610,457599,213.5
Yilan,201611,457587,213.5
Yilan,201612,457538,213.4
Yilan,201701,457349,213.4
Yilan,201702,457323,213.3
Yilan,201703,457205,213.3
Yilan,201704,457093,213.2
Yilan,201705,457133,213.3
Yilan,201706,457106,213.2
Yilan,201707,456985,213.2
Yilan,201708,456904,213.1
Yilan,201709,456851,213.1
Yilan,201710,456756,213.1
Yilan,201711,456688,213.0
Yilan,201712,456607,213.0
Yilan,201801,456362,212.9
Yilan,201802,456259,212.8
Yilan,201803,456068,212.8
Yilan,201804,456066,212.8
Yilan,201805,456047,212.7
Yilan,201806,456006,212.7
Yilan,201807,455924,212.7
Yilan,201808,455758,212.6
Yilan,201809,455592,212.5
Yilan,201810,455508,212.5
Yilan,201811,455376,212.4
Yilan,201812,455221,212.4
Yilan,201901,455035,212.3
Yilan,201902,454922,212.2
Yilan,201903,454770,212.1
Yilan,201904,454732,212.1
Yilan,201905,454725,212.1
Hsinchu county,201001,511288,358.1
Hsinchu county,201002,511608,358.4
Hsinchu county,201003,511852,358.5
Hsinchu county,201004,512147,358.7
Hsinchu county,201005,511855,358.5
Hsinchu county,201006,509802,357.1
Hsinchu county,201007,510874,357.9
Hsinchu county,201008,511644,358.4
Hsinchu county,201009,512097,358.7
Hsinchu county,201010,512353,358.9
Hsinchu county,201011,512541,359.0
Hsinchu county,201012,513015,359.4
Hsinchu county,201101,513220,359.5
Hsinchu county,201102,513513,359.7
Hsinchu county,201103,513838,359.9
Hsinchu county,201104,514228,360.2
